line_id,name,sequence,status,lat,lon
R,唭哩岸,18,Operating,25.12085794562379,121.5062648104665
R,奇岩,19,Operating,25.125584855497436,121.50108298243138
R,北投,20,Operating,25.13190704877572,121.4985911598624
R,復興崗,21,Operating,25.137446811852804,121.4852081353516
R,忠義,22,Operating,25.13075088521668,121.4731222409703
R,關渡,23,Operating,25.125784713139588,121.46719972493716
R,竹圍,24,Operating,25.13694903321136,121.45945645181078
R,紅樹林,25,Operating,25.154114157533733,121.45895451204612
R,淡水,26,Operating,25.167993283329395,121.4452583081884
R_NewBeitou,北投,0,Operating,25.13190704877572,121.4985911598624
R_NewBeitou,新北投,1,Operating,25.136936401899067,121.50253117138534
G,新店,0,Operating,24.95787164777051,121.53761004105188
G,新店區公所,1,Operating,24.9674,121.5415
G,七張,2,Operating,24.975082925897777,121.54291090576598
G,大坪林,3,Operating,24.982913833396648,121.5413660346038
G,景美,4,Operating,24.993178356596204,121.5409209921252
G,萬隆,5,Operating,25.00196532519868,121.53900226954173
G,公館,6,Operating,25.01470748237314,121.53434703188556
G,台電大樓,7,Operating,25.02069268144765,121.52818732580072
G,古亭,8,Operating,25.026885634859767,121.52256794084464
G,中正紀念堂,9,Operating,25.03427427019356,121.51704931955275
G,小南門,10,Operating,25.035672778690685,121.510781764249
G,西門,11,Operating,25.042212597087047,121.50848773359856
G,北門,12,Operating,25.049294237623997,121.5102786459113
G,中山,13,Operating,25.052675664748172,121.52039689994804
G,松江南京,14,Operating,25.052024514344147,121.53304925954892
G,南京復興,15,Operating,25.05186980610515,121.54357686109256
G,台北小巨蛋,16,Operating,25.051647242186373,121.55200315528758
G,南京三民,17,Operating,25.05143632091201,121.5643968828404
G,松山,18,Operating,25.05000170648541,121.57773339237647
G_Xiaobitan,七張,0,Operating,24.975082925897777,121.54291090576598
G_Xiaobitan,小碧潭,1,Operating,24.969554205353518,121.53529784254444
O,南勢角,0,Operating,24.99040853151986,121.50917264645942
O,景安,1,Operating,24.99392203175802,121.50509077818278
O,永安市場,2,Operating,25.00255587953482,121.51112538697048
O,頂溪,3,Operating,25.0136186456844,121.51544988024696
O,古亭,4,Operating,25.026885634859767,121.52256794084464
O,東門,5,Operating,25.033927618168192,121.52832177315834
O,忠孝新生,6,Operating,25.04235484109193,121.53291875841308
O,松江南京,7,Operating,25.052024514344147,121.53304925954892
O,行天宮,8,Operating,25.057966034949423,121.53315637381542
O,中山國小,9,Operating,25.0626509995954,121.5276644722842
O,民權西路,10,Operating,25.06287666536337,121.51936274027928
O,大橋頭,11,Operating,25.062922384403876,121.5128487794506
O,台北橋,12,Operating,25.062943649795628,121.49986798026124
O,菜寮,13,Operating,25.05964833471952,121.49113831824576
O,三重,14,Operating,25.055599499062613,121.48394655537147
O,先嗇宮,15,Operating,25.046526870908444,121.4721227936169
O,頭前庄,16,Operating,25.039607331082845,121.46162455915298
O,新莊,17,Operating,25.03614790870418,121.45231789675648
O,輔大,18,Operating,25.032768730074984,121.43581241981629
O,丹鳳,19,Operating,25.02892109157432,121.4226990725201
O,迴龍,20,Operating,25.022517157057774,121.41266279325664
O_Luzhou,大橋頭,0,Operating,25.062922384403876,121.5128487794506
O_Luzhou,三重國小,1,Operating,25.069935147639686,121.497440896474
O_Luzhou,三和國中,2,Operating,25.0768077912848,121.48634726047
O_Luzhou,徐匯中學,3,Operating,25.08074178667732,121.4796160953184
O_Luzhou,三民高中,4,Operating,25.0856703896894,121.47324093434406
O_Luzhou,蘆洲,5,Operating,25.091563669599623,121.46435733713017
BR,動物園,0,Operating,24.99827748528025,121.57932507629135
BR,木柵,1,Operating,24.99825335252841,121.57317598186135
BR,萬芳社區,2,Operating,24.998607713500117,121.56806667867862
BR,萬芳醫院,3,Operating,24.999504452038764,121.55802856133452
BR,辛亥,4,Operating,25.005383562847964,121.55701024355297
BR,麟光,5,Operating,25.018523230734115,121.55882703203744
BR,六張犁,6,Operating,25.02384487573317,121.55305797318084
BR,科技大樓,7,Operating,25.025991976477005,121.5434514719454
BR,大安,8,Operating,25.0328205730737,121.5436261083644
BR,忠孝復興,9,Operating,25.041602162432408,121.54379399916068
BR,南京復興,10,Operating,25.05186980610515,121.54357686109256
BR,中山國中,11,Operating,25.06080611270273,121.54421643863031
BR,松山機場,12,Operating,25.063104462027813,121.55163511046534
BR,大直,13,Operating,25.080477334160324,121.54814855983456
BR,劍南路,14,Operating,25.08489845647162,121.55560715358948
BR,西湖,15,Operating,25.08216141473821,121.5672124577793
BR,港墘,16,Operating,25.0799950036784,121.57528311843348
BR,文德,17,Operating,25.07853310626853,121.5849685154322
BR,內湖,18,Operating,25.083505565019827,121.59420587019451
BR,大湖公園,19,Operating,25.08380866638897,121.6023129070467
BR,葫洲,20,Operating,25.07268927121877,121.60724154576955
BR,東湖,21,Operating,25.06757795298427,121.61173723205351
BR,南港軟體園區,22,Operating,25.0598989938964,121.615954181595
BR,南港展覽館,23,Operating,25.0545656791777,121.61762249277858
Y,大坪林,0,Operating,24.982913833396648,121.5413660346038
Y,十四張,1,Operating,24.983975049022398,121.52868133414428
Y,秀朗橋,2,Operating,24.99046028425729,121.52412027765467
Y,景平,3,Operating,24.9921677687474,121.5159472146019
Y,景安,4,Operating,24.99392203175802,121.50509077818278
Y,中和,5,Operating,25.001725087459377,121.49685451610128
Y,橋和,6,Operating,25.004590667817997,121.4902263021068
Y,中原,7,Operating,25.00850875326448,121.48335433974322
Y,板新,8,Operating,25.014002570888305,121.47293039513582
Y,板橋,9,Operating,25.014297124383823,121.46288178985704
Y,新埔民生,10,Operating,25.026099,121.466517
Y,頭前庄,11,Operating,25.039607331082845,121.46162455915298
Y,幸福,12,Operating,25.04978372603185,121.45990194656648
Y,新北產業園區,13,Operating,25.061081616149394,121.45957785560668
A,A1台北車站,0,Operating,25.04869,121.51428
A,A2三重,1,Operating,25.0548,121.48273
A,A3新北產業園區,2,Operating,25.06171,121.45918
A,A4新莊副都心,3,Operating,25.05924,121.44561
A,A5泰山,4,Operating,25.05321,121.43943
A,A6泰山貴和,5,Operating,25.03321,121.42262
A,A7體育大學,6,Operating,25.04124,121.38543
A,A8長庚醫院,7,Operating,25.06053,121.37073
A,A9林口,8,Operating,25.0658,121.36134
A,A10山鼻,9,Operating,25.0808,121.28476
A,A11坑口,10,Operating,25.08646,121.26637
A,A12機場第一航廈,11,Operating,25.081307070937925,121.2375576956854
A,A13機場第二航廈,12,Operating,25.07736465092579,121.23211022786872
A,A14機場第三航廈,13,Operating,25.07352517310027,121.22619721774997
A,A14a機場旅館,14,Operating,25.07007,121.22142
A,A15大園,15,Operating,25.05595,121.21048
A,A16橫山,16,Operating,25.03665,121.21556
A,A17領航,17,Operating,25.02417,121.22095
A,A18高鐵桃園站,18,Operating,25.01374,121.21406
A,A19桃園體育園區,19,Operating,25.00199,121.20349
A,A20興南,20,Operating,24.98025,121.21627
A,A21環北,21,Operating,24.96722,121.22114
A,A22老街溪,22,Operating,24.95823,121.21936
A,A23中壢車站,23,Operating,24.9537,121.2256
LG_1,LG01中正紀念堂,0,Construction,25.0327,121.5185
LG_1,LG02植物園,1,Construction,25.0305,121.51
LG_1,LG03廈安,2,Construction,25.0285,121.5032
LG_1,LG04加蚋,3,Construction,25.0195,121.4984
LG_1,LG05永和永平國小,4,Construction,25.0108,121.4947
LG_1,LG06中和,5,Construction,25.0022,121.4961
LG_1,LG07連城錦和,6,Construction,24.9965,121.488
LG_1,LG08中和高中,7,Construction,24.995,121.4785
LG_1,LG08A莒光,8,Construction,24.9954004,121.4698862
LG_2,LG08中和高中,0,Planning,24.995,121.4785
LG_2,LG09廷寮,1,Planning,24.989042565597575,121.47011042107256
LG_2,LG10清水,2,Planning,24.983169655740923,121.45686508087843
LG_2,LG11土城,3,Planning,24.9731,121.4444
LG_2,LG12埤塘,4,Planning,24.971,121.435
LG_2,LG13城林橋,5,Planning,24.968,121.425
LG_2,LG14溪洲,6,Planning,24.975,121.418
LG_2,LG15彭福,7,Planning,24.982,121.415
LG_2,LG16備內,8,Planning,24.989,121.42
LG_2,LG17樹林,9,Planning,24.9915,121.4249
